# Note - Agri-duck 14 sep 12
# Graph Data - 5 Sessions - Saved Friday, September 14, 2012
# Start Of Session - Sample Time: 1.000
# Reset Source (Cause of reset):  Normal Boot-up Sequence, 255
# Idle Times: 
Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       
True        , True        , True        , True        , True        , True        , True        
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.77        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.92        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.92        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.92        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.92        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.92        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.92        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.92        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.92        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.92        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.92        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.92        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1818      , 2.353       , 24.88       , 0.000       , 0.0         , 79.7        , 3824        
1.1740      , 0.000       , 24.88       , 0.000       , 0.0         , 76.8        , 0           
1.1661      , 0.000       , 24.88       , 0.000       , 0.0         , 80.4        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 80.4        , 0           
# Start Of Session - Sample Time: 1.000
# Reset Source (Cause of reset):  Normal Boot-up Sequence, 255
# Idle Times: 
Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       
True        , True        , True        , True        , True        , True        , True        
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 76.1        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 4.47        , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.0        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.0        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.0        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.0        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.0        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.0        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.0        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.0        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.0        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.0        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.0        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
