# Note - You may enter notes about your run here. \u00a0They will be displayed every time this log is loaded.
# Graph Data - 7 Sessions - Saved Wednesday, May 25, 2011
# Start Of Session - Sample Time: 0.500
# Reset Source (Cause of reset):  Normal Boot-up Sequence
# Idle Times: 
Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       
True        , True        , True        , True        , True        , True        , True        
1.0407      , 0.000       , 25.18       , 0.000       , 0.0         , 24.9        , 0           
1.0407      , 0.000       , 25.18       , 0.000       , 0.0         , 24.9        , 0           
1.0407      , 0.000       , 25.18       , 0.000       , 0.0         , 24.9        , 0           
1.0407      , 0.000       , 25.18       , 0.000       , 0.0         , 24.9        , 0           
1.0407      , 0.000       , 25.18       , 0.000       , 0.0         , 24.9        , 0           
1.0407      , 0.000       , 25.18       , 0.000       , 0.0         , 24.9        , 0           
1.0407      , 0.000       , 25.18       , 0.000       , 0.0         , 24.9        , 0           
1.0407      , 0.000       , 25.18       , 0.000       , 0.0         , 24.9        , 0           
1.0407      , 0.000       , 25.18       , 0.000       , 0.0         , 24.9        , 0           
1.0407      , 0.000       , 25.18       , 0.000       , 0.0         , 24.9        , 0           
1.0407      , 0.000       , 25.18       , 0.000       , 0.0         , 24.9        , 0           
1.0721      , 0.000       , 25.18       , 0.000       , 0.0         , 76.1        , 0           
1.0721      , 0.000       , 25.18       , 0.000       , 0.0         , 76.1        , 0           
1.0721      , 0.000       , 25.18       , 0.000       , 0.0         , 76.1        , 0           
1.2367      , 3.137       , 25.03       , 0.298       , 1.8         , 76.8        , 0           
1.2367      , 4.314       , 25.18       , 0.447       , 0.9         , 75.4        , 0           
1.2367      , 4.706       , 25.03       , 0.447       , 0.9         , 77.5        , 6033        
1.2367      , 5.882       , 25.18       , 0.447       , 1.8         , 77.5        , 7923        
1.2367      , 7.059       , 25.18       , 0.596       , 2.7         , 77.5        , 9849        
1.2367      , 9.020       , 25.03       , 0.447       , 3.6         , 77.5        , 11815       
1.2367      , 10.980      , 25.03       , 0.596       , 4.6         , 78.3        , 14480       
1.2367      , 13.725      , 25.03       , 0.596       , 6.4         , 77.5        , 17480       
1.2367      , 16.863      , 25.03       , 0.596       , 8.2         , 78.3        , 21026       
1.2367      , 21.569      , 25.03       , 0.745       , 10.9        , 78.3        , 25268       
1.2367      , 27.059      , 25.03       , 1.043       , 15.5        , 79.0        , 30337       
1.2367      , 34.118      , 25.03       , 1.043       , 19.1        , 79.0        , 36329       
1.2367      , 42.745      , 24.88       , 0.894       , 25.5        , 79.7        , 42624       
1.2367      , 54.902      , 24.88       , 0.745       , 32.8        , 79.7        , 49555       
1.2367      , 67.059      , 24.88       , 1.043       , 41.9        , 77.5        , 57674       
1.3072      , 54.902      , 24.88       , 0.596       , 28.3        , 79.0        , 62628       
1.3307      , 43.529      , 24.88       , 0.447       , 18.2        , 81.9        , 62246       
1.3307      , 35.294      , 24.88       , 0.447       , 12.8        , 81.9        , 60404       
1.3307      , 32.549      , 24.88       , 0.596       , 11.8        , 79.7        , 58333       
1.3307      , 35.294      , 24.88       , 0.596       , 12.8        , 83.4        , 56244       
1.3307      , 41.961      , 24.88       , 0.745       , 16.4        , 82.7        , 55180       
1.3307      , 49.412      , 24.88       , 0.745       , 22.8        , 82.7        , 54884       
1.3307      , 55.294      , 24.88       , 1.043       , 27.3        , 82.7        , 55631       
1.3307      , 55.294      , 24.88       , 0.745       , 31.0        , 83.4        , 57512       
1.3307      , 53.333      , 24.73       , 0.596       , 27.3        , 83.4        , 58500       
1.6833      , 51.765      , 24.73       , 0.596       , 24.6        , 83.4        , 58500       
1.6833      , 61.176      , 24.88       , 0.745       , 29.2        , 84.1        , 60945       
1.6833      , 64.706      , 24.88       , 0.745       , 33.7        , 84.1        , 60584       
1.6833      , 68.235      , 24.88       , 0.894       , 37.4        , 84.9        , 62246       
1.6833      , 64.314      , 24.73       , 0.894       , 30.1        , 84.9        , 64203       
1.6833      , 58.824      , 24.73       , 0.745       , 24.6        , 84.9        , 64002       
1.6833      , 56.863      , 24.73       , 0.596       , 24.6        , 85.7        , 63014       
1.6833      , 58.431      , 24.73       , 0.745       , 25.5        , 84.9        , 61682       
1.6833      , 60.392      , 24.73       , 0.745       , 29.2        , 85.7        , 61496       
1.6833      , 62.353      , 24.73       , 0.745       , 31.0        , 85.7        , 61682       
1.6833      , 62.745      , 24.73       , 0.745       , 31.0        , 87.2        , 62057       
1.6833      , 62.353      , 24.73       , 0.745       , 30.1        , 83.4        , 62628       
1.6833      , 62.353      , 24.88       , 0.745       , 30.1        , 86.4        , 62436       
1.6833      , 62.353      , 24.73       , 0.745       , 29.2        , 87.2        , 62246       
1.6833      , 61.961      , 24.73       , 0.745       , 29.2        , 87.2        , 62436       
